product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
[special jordionsu.official]  skintific 2pcs 5x ceramide moisturizer + suncreen: skintific 5x ceramide serum sunscreen 30ml spf 50 pa++++/skintific aqua sunscreen light daily sunscreen spf 35 pa+++/skintific  matte fit serum sunscreen 30g spf50+ pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,316129.0,196000.0,38,100,4.9
skintific matte fit serum sunscreen spf 50,Skintific,Sunscreen,Dheka Shakeenah,Kab. Tangerang,Reseller,No,231579.0,88000.0,62,3,4.9
[beli 2 dapat 3] skintific 2pcs skincare set face wash face sunscreen  wash  acner  barrie  brightening  whitening  calming  panthenol  perawatan wajah  sunscreen  spf 50 pa ++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,436364.0,192000.0,56,2,4.9
[kulit kering] skintific 5x ceramide serum sunscreen 30ml /50ml spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,195312.0,125000.0,36,5,4.9
[kulit berminyak] skintific  matte fit serum sunscreen 30g/50g spf50+ pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,302778.0,109000.0,64,10,4.9
"skintific aqua light daily sunscreen 30gram spf 35 - melindungi kulit dari sinar matahari - berjerawat, scrub, muka, berminyak, extract, mencerahkan, perawatan, wajah, kusam, facial",Skintific,Sunscreen,Dheka Shakeenah,Kab. Tangerang,Reseller,No,115789.0,88000.0,24,2,4.9
skintific 2pcs 5x ceramide moisturizer + suncreen: skintific 5x ceramide serum sunscreen 30ml spf 50 pa++++/skintific aqua sunscreen light daily sunscreen spf 35 pa+++/skintific  matte fit serum sunscreen 30g spf50+ pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,316129.0,196000.0,38,2,4.9
skintific 3pcs skincare set cleanser + moisturizer + sunscreen / anti dark spot set / glowing set / repair barrier set / sensitive set / barrier set / acne set cleansing moisturizing uv protection,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,414706.0,282000.0,32,1,4.9
skintific light serum sunscreen spf50 berjerawat berminyak,Skintific,Sunscreen,Dheka Shakeenah,Kab. Tangerang,Reseller,No,168852.0,103000.0,39,1,4.9
【video】skintific - light serum sunscreen spf50 pa ++++ 25ml sunblock protect rusak kulit berminyak berjerawat sensitif sunblok,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,197872.0,93000.0,53,250,4.9
【video】skintific  6pcs set sunscreen wajah+serum+moisturizer+cleanser day cream night cream symwhite 377 dark spot moisture gel 30g retinol skin renewal moisturizer 30g pelembab wajah serum wajah anti-aging dark spot brightening glowing,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,797403.0,614000.0,23,30,4.9
[flek hitam]skintific - light serum sunscreen spf50 pa ++++ 25ml sunblock protect rusak kulit berminyak berjerawat sensitif sunblok,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,197872.0,93000.0,53,8,4.9
