product_name,price_after_discount,discount_percentage,merchant,merchant_city,unit_sold,product_rating
Somethinc Tamago Airy Blush - Honey,Rp60.750,25%,Watsons Indonesia Official Store,Kab. Tangerang,3 terjual,
Somethinc Advanced Peeling 20% AHA BHA PHA LHA Serum 20ml,Rp114.750,25%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
SOMETHINC COPY PASTE BREATHABLE CUSHION Somethinc X Lifni Sanders,Rp104.000,50%,BeautyHaul_NEW,Tangerang,4 terjual,
SOMETHINC Bust Firming Serum 50 ml,Rp117.900,10%,BeautyHaul_NEW,Tangerang,7 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation W03 Goddess,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Ceraplump Tinted Lip Balm SPF25 PA++++ 10 Walnut,Rp78.400,20%,Watsons Indonesia Official Store,Kab. Tangerang,7 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation C02 Serene,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Reset Gentle Micellar Cleansing Water 160ml,Rp79.500,25%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation W01.5 Cashew,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Brow Pro Pomade 18HR Stay Chocolate,Rp61.200,15%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation W04 Tiffany,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Refill Copy Paste Coverblur Powder Foundation N02 Charlotte,Rp91.700,24%,Watsons Indonesia Official Store,Kab. Tangerang,4 terjual,
Somethinc Mademoiselle Soft Focus Powder Blush Heart,Rp60.750,25%,Watsons Indonesia Official Store,Kab. Tangerang,3 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation N03 Alter,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
